2023-12-16 15:24:49 startup archives install
2023-12-16 15:24:49 install base-passwd:amd64 <none> 3.6.1
2023-12-16 15:24:49 status half-installed base-passwd:amd64 3.6.1
2023-12-16 15:24:50 status unpacked base-passwd:amd64 3.6.1
2023-12-16 15:24:50 configure base-passwd:amd64 3.6.1 3.6.1
2023-12-16 15:24:50 status half-configured base-passwd:amd64 3.6.1
2023-12-16 15:24:51 status installed base-passwd:amd64 3.6.1
2023-12-16 15:24:51 startup archives install
2023-12-16 15:24:51 install base-files:amd64 <none> 12.4+deb12u4
2023-12-16 15:24:51 status half-installed base-files:amd64 12.4+deb12u4
2023-12-16 15:24:51 status unpacked base-files:amd64 12.4+deb12u4
2023-12-16 15:24:52 configure base-files:amd64 12.4+deb12u4 12.4+deb12u4
2023-12-16 15:24:52 status half-configured base-files:amd64 12.4+deb12u4
2023-12-16 15:24:52 status installed base-files:amd64 12.4+deb12u4
2023-12-16 15:24:52 startup archives install
2023-12-16 15:24:52 upgrade dpkg 1.21.22 1.21.22
2023-12-16 15:24:52 status half-configured dpkg 1.21.22
2023-12-16 15:24:52 status unpacked dpkg 1.21.22
2023-12-16 15:24:52 status half-installed dpkg 1.21.22
2023-12-16 15:24:55 status unpacked dpkg:amd64 1.21.22
2023-12-16 15:24:55 configure dpkg:amd64 1.21.22 1.21.22
2023-12-16 15:24:55 status half-configured dpkg:amd64 1.21.22
2023-12-16 15:24:55 status installed dpkg:amd64 1.21.22
2023-12-16 15:24:55 startup archives install
2023-12-16 15:24:56 install libc6:amd64 <none> 2.36-9+deb12u3
2023-12-16 15:24:56 status half-installed libc6:amd64 2.36-9+deb12u3
2023-12-16 15:25:00 status unpacked libc6:amd64 2.36-9+deb12u3
2023-12-16 15:25:01 configure libc6:amd64 2.36-9+deb12u3 2.36-9+deb12u3
2023-12-16 15:25:01 status half-configured libc6:amd64 2.36-9+deb12u3
2023-12-16 15:25:01 status installed libc6:amd64 2.36-9+deb12u3
2023-12-16 15:25:01 startup archives install
2023-12-16 15:25:01 install perl-base:amd64 <none> 5.36.0-7+deb12u1
2023-12-16 15:25:01 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:25:07 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:25:07 configure perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2023-12-16 15:25:07 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:25:07 status installed perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:25:08 startup archives install
2023-12-16 15:25:08 install mawk:amd64 <none> 1.3.4.20200120-3.1
2023-12-16 15:25:08 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:25:08 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:25:08 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-12-16 15:25:08 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:25:09 status installed mawk:amd64 1.3.4.20200120-3.1
2023-12-16 15:25:09 startup archives install
2023-12-16 15:25:09 install debconf:all <none> 1.5.82
2023-12-16 15:25:09 status half-installed debconf:all 1.5.82
2023-12-16 15:25:10 status unpacked debconf:all 1.5.82
2023-12-16 15:25:11 configure debconf:all 1.5.82 1.5.82
2023-12-16 15:25:11 status half-configured debconf:all 1.5.82
2023-12-16 15:25:11 status installed debconf:all 1.5.82
2023-12-16 15:25:11 startup archives unpack
